expected, output, measured
10,0.0100576,10.0308
10,0.0100243,10.0309
10,0.0100482,10.0309
10,0.0100148,10.031
10,0.0100386,10.031
10,0.0100623,10.0311
10,0.0100287,10.0312
10,0.0109204,10.0313
10,0.00950346,10.0313
10,0.00987019,10.0314
10,0.00995085,10.0314
10,0.00997425,10.0315
10,0.0100548,10.0316
10,0.010021,10.0316
10,0.0100442,10.0317
10,0.0100103,10.0317
10,0.0100334,10.0318
10,0.0100566,10.0319
10,0.0100225,10.0319
10,0.0100456,10.032
10,0.0100113,10.032
10,0.0100343,10.0321
10,0.0100573,10.0321
10,0.010023,10.0322
10,0.0100458,10.0323
10,0.0100114,10.0323
10,0.0100342,10.0324
10,0.0099998,10.0324
10,0.0100225,10.0325
10,0.0100452,10.0325
10,0.0100106,10.0326
10,0.0100333,10.0326
10,0.0100558,10.0327
10,0.0100212,10.0327
10,0.0100437,10.0328
10,0.0100089,10.0328
10,0.0100314,10.0329
10,0.00999661,10.0329
10,0.0109546,10.033
10,0.00946889,10.033
10,0.00977723,10.0331
10,0.00997114,10.0331
10,0.00999337,10.0331
10,0.0100156,10.0332
10,0.0099806,10.0332
10,0.0100028,10.0333
10,0.0100249,10.0333
10,0.0100471,10.0334
10,0.010012,10.0334
10,0.0100341,10.0334
10,0.0099989,10.0335
10,0.0100209,10.0335
10,0.00998573,10.0335
10,0.0100077,10.0336
10,0.0100297,10.0336
10,0.00999446,10.0337
10,0.0100164,10.0337
10,0.0100383,10.0337
10,0.010003,10.0338
10,0.0100249,10.0338
10,0.00998952,10.0338
10,0.0100114,10.0339
10,0.0100332,10.0339
10,0.00999782,10.0339
10,0.0100196,10.034
10,0.0099842,10.034
10,0.010006,10.034
10,0.0100277,10.034
10,0.00999226,10.0341
10,0.0110013,10.0341
10,0.00940602,10.0341
10,0.00977092,10.0342
10,0.00990703,10.0342
10,0.00998592,10.0342
10,0.00995038,10.0343
10,0.0100292,10.0343
10,0.00999368,10.0343
10,0.0100153,10.0343
10,0.00997978,10.0344
10,0.0100014,10.0344
10,0.00996584,10.0344
